"ObjectId","Displayname","Skuid","SKUName","ServicePlanName","ServicePlanId","capabilityStatus","DisabledServicePlanName","DisabledServicePlan"
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","YAMMER_ENTERPRISE","7547a3fe-08ee-4ccb-b430-5077c5041653","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two",,,,,,,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","AAD_PREMIUM","41781fb2-bc02-4b7c-bd55-b576c07bb09d","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","AAD_PREMIUM_P2","eec0eb4f-6444-4f95-aba0-50c24d67f998","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","ADALLOM_S_O365","8c098270-9dd4-4350-9b30-ba4703f3b36b","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","ADALLOM_S_STANDALONE","2e2ddb96-6af9-4b1d-a3f0-d6ecfd22edb2","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","ATA","14ab5db5-e6c4-4b20-b4bc-13e36fd2227f","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","a403ebcc-fae0-4ca2-8c8c-7a907fd6c235","POWER_BI_STANDARD","BI_AZURE_P0","2049e525-b859-401b-b2a0-e0a31c4b1fe4","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","BI_AZURE_P2","70d33638-9c74-4d01-bfd3-562de28bd4ba","Enabled",,
"4880ed4c-2d85-4570-90b2-9fd109bcebf0","MK Two","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","BPOS_S_TODO_3","3fb82609-8c27-4f7b-bd51-30634711ee67","Enabled",,
